"자치구","안심 주소","위도","경도","CCTV 수량","수정 일시"
"종로구","문화재007 고종즉위40주년칭경비1(종로구 세종로142-3)","37.5631","127.0367","1","2022-12-01"
"종로구","문화재007 고종즉위40주년칭경비2(종로구 세종로142-3)","37.5631","127.0367","1","2022-12-01"
"종로구","문화재008 평창동 541-1 보현산신각 검지1","37.5631","127.0367","1","2022-12-01"
"종로구","문화재009 박노수 가옥 01(종로구 옥인1길 34)","37.5631","127.0367","1","2022-12-01"
"종로구","문화재009 박노수 가옥 02(종로구 옥인1길 34)","37.5631","127.0367","1","2022-12-01"
"종로구","문화재009 박노수 가옥 03(종로구 옥인1길 34)","37.5631","127.0367","1","2022-12-01"
"종로구","문화재009 박노수 가옥 04(종로구 옥인1길 34)","37.5631","127.0367","1","2022-12-01"
"종로구","문화재009 박노수 가옥 05(종로구 옥인1길 34)","37.5631","127.0367","1","2022-12-01"
"종로구","문화재009 박노수 가옥 06(종로구 옥인1길 34)","37.5631","127.0367","1","2022-12-01"
"종로구","문화재012 장면총리 가옥01 (종로구 혜화로5길 53)","37.5631","127.0367","1","2022-12-01"
"종로구","문화재012 장면총리 가옥02 (종로구 혜화로5길 53)","37.5631","127.0367","1","2022-12-01"
"종로구","문화재012 장면총리 가옥03 (종로구 혜화로5길 53)","37.5631","127.0367","1","2022-12-01"
"종로구","문화재012 장면총리 가옥04 (종로구 혜화로5길 53)","37.5631","127.0367","1","2022-12-01"
"종로구","문화재012 장면총리 가옥05 (종로구 혜화로5길 53)","37.5631","127.0367","1","2022-12-01"
"종로구","문화재012 장면총리 가옥06 (종로구 혜화로5길 53)","37.5631","127.0367","1","2022-12-01"
"종로구","문화재012 장면총리 가옥07 (종로구 혜화로5길 53)","37.5631","127.0367","1","2022-12-01"
"종로구","문화재012 장면총리 가옥08 (종로구 혜화로5길 53)","37.5631","127.0367","1","2022-12-01"
"종로구","방범001_옥인6가길 8_검지1","37.5816","126.9649","1","2022-12-01"
"종로구","방범001_옥인6가길 8_검지2","37.5816","126.9649","1","2022-12-01"
"종로구","방범001_옥인6가길 8_메인","37.5816","126.9649","1","2022-12-01"
"종로구","방범002_옥인6길 39_검지1","37.5805","126.9648","1","2022-12-01"
"종로구","방범002_옥인6길 39_메인","37.5805","126.9648","1","2022-12-01"
"종로구","방범003-1_옥인6길 32_검지1","37.5800","126.9657","1","2022-12-01"
"종로구","방범003_옥인6길 23_검지1","37.5809","126.9648","1","2022-12-01"
"종로구","방범003_옥인6길 23_메인","37.5809","126.9648","1","2022-12-01"
"종로구","방범004_옥인3길 32-1_검지1","37.5800","126.9657","1","2022-12-01"
"종로구","방범004_옥인3길 32-1_검지2","37.5800","126.9657","1","2022-12-01"
"종로구","방범004_옥인3길 32-1_메인","37.5800","126.9657","1","2022-12-01"
"종로구","방범005_옥인길 40_검지1","37.5811","126.9666","1","2022-12-01"
"종로구","방범005_옥인길 40_검지2","37.5811","126.9666","1","2022-12-01"
"종로구","방범005_옥인길 40_검지3","37.5811","126.9666","1","2022-12-01"
"종로구","방범005_옥인길 40_메인","37.5811","126.9666","1","2022-12-01"
"종로구","방범006_필운대로5나길 26_검지1","37.5801","126.9669","1","2022-12-01"
"종로구","방범006_필운대로5나길 26_검지2","37.5801","126.9669","1","2022-12-01"
"종로구","방범006_필운대로5나길 26_메인","37.5801","126.9669","1","2022-12-01"
"종로구","방범007_자하문로23길 19_검지1","37.5833","126.9692","1","2022-12-01"
"종로구","방범007_자하문로23길 19_검지2","37.5833","126.9692","1","2022-12-01"
"종로구","방범007_자하문로23길 19_메인","37.5833","126.9692","1","2022-12-01"
"종로구","방범008_필운대로 116_검지1","37.5837","126.9702","1","2022-12-01"
"종로구","방범008_필운대로 116_검지2","37.5837","126.9702","1","2022-12-01"
